time(millis),values,Grams,Newtons,multiplier,offset
43809,357774,958.32914,,0.00111,561.2
43893,138430,714.8573,,0.00111,561.2
43977,4806,566.53466,,0.00111,561.2
44062,-57939,496.88771,,0.00111,561.2
44146,-94174,456.66686,,0.00111,561.2
44230,-116400,431.996,,0.00111,561.2
44314,-127976,419.14664,,0.00111,561.2
44398,-135528,410.76392,,0.00111,561.2
44483,-143261,402.18029,,0.00111,561.2
44567,-146403,398.69267,,0.00111,561.2
44651,-143440,401.9816,,0.00111,561.2
44735,-143157,402.29573,,0.00111,561.2
44819,-149755,394.97195,,0.00111,561.2
44904,-154940,389.2166,,0.00111,561.2
44988,-159745,383.88305,,0.00111,561.2
45072,-161927,381.46103,,0.00111,561.2
45156,-164379,378.73931,,0.00111,561.2
45240,-167765,374.98085,,0.00111,561.2
45325,-170188,372.29132,,0.00111,561.2
45409,-174449,367.56161,,0.00111,561.2
45493,-182645,358.46405,,0.00111,561.2
45577,-195672,344.00408,,0.00111,561.2
45661,-200721,338.39969,,0.00111,561.2
45746,-202204,336.75356,,0.00111,561.2
45830,-205348,333.26372,,0.00111,561.2
45914,-206151,332.37239,,0.00111,561.2
45998,-203924,334.84436,,0.00111,561.2
46082,-207647,330.71183,,0.00111,561.2
46166,-218154,319.04906,,0.00111,561.2
46251,-212466,325.36274,,0.00111,561.2
46335,-201578,337.44842,,0.00111,561.2
46419,-207460,330.9194,,0.00111,561.2
46503,-207527,330.84503,,0.00111,561.2
46587,-207024,331.40336,,0.00111,561.2
46672,-206884,331.55876,,0.00111,561.2
46756,-208204,330.09356,,0.00111,561.2
46840,-207985,330.33665,,0.00111,561.2
46924,-208275,330.01475,,0.00111,561.2
47008,-208577,329.67953,,0.00111,561.2
47093,-209534,328.61726,,0.00111,561.2
47177,-210392,327.66488,,0.00111,561.2
47261,-209687,328.44743,,0.00111,561.2
47345,-208703,329.53967,,0.00111,561.2
47429,-206918,331.52102,,0.00111,561.2
47514,-205253,333.36917,,0.00111,561.2
47598,-205606,332.97734,,0.00111,561.2
47682,-210477,327.57053,,0.00111,561.2
47766,-207896,330.43544,,0.00111,561.2
47850,-210869,327.13541,,0.00111,561.2
47934,-220403,316.55267,,0.00111,561.2
48019,-218753,318.38417,,0.00111,561.2
48103,-216232,321.18248,,0.00111,561.2
